"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-10-17";"3577.64000";"3593.75000";"3510.81000";"3516.67000";"0"
"3830";"2003-10-20";"3520.54000";"3566.64000";"3496.57000";"3559.33000";"0"
"3830";"2003-10-21";"3567.35000";"3593.50000";"3536.80000";"3580.08000";"0"
"3830";"2003-10-22";"3560.93000";"3571.30000";"3488.75000";"3490.60000";"0"
"3830";"2003-10-23";"3486.91000";"3502.95000";"3423.34000";"3497.14000";"0"
"3830";"2003-10-24";"3495.21000";"3495.21000";"3439.09000";"3452.64000";"0"
"3830";"2003-10-27";"3459.07000";"3529.43000";"3459.07000";"3517.10000";"0"
"3830";"2003-10-28";"3531.98000";"3600.75000";"3531.98000";"3586.93000";"0"
"3830";"2003-10-29";"3597.52000";"3627.18000";"3583.79000";"3615.42000";"0"
"3830";"2003-10-30";"3620.00000";"3675.78000";"3583.47000";"3639.66000";"0"
"3830";"2003-10-31";"3639.36000";"3657.62000";"3612.67000";"3655.99000";"0"
"3830";"2003-11-03";"3657.61000";"3750.25000";"3651.77000";"3744.50000";"0"
"3830";"2003-11-04";"3742.53000";"3768.54000";"3724.21000";"3741.71000";"0"
"3830";"2003-11-05";"3737.32000";"3745.18000";"3690.87000";"3717.70000";"0"
"3830";"2003-11-06";"3719.85000";"3759.87000";"3683.46000";"3733.93000";"0"
"3830";"2003-11-07";"3744.41000";"3814.21000";"3744.41000";"3782.56000";"0"
"3830";"2003-11-10";"3778.27000";"3789.29000";"3737.25000";"3746.24000";"0"
"3830";"2003-11-11";"3739.47000";"3739.47000";"3699.99000";"3729.87000";"0"
"3830";"2003-11-12";"3730.14000";"3754.35000";"3696.95000";"3652.29000";"0"
"3830";"2003-11-13";"3756.30000";"3813.20000";"3739.25000";"3765.59000";"0"
"3830";"2003-11-14";"3752.18000";"3812.90000";"3746.91000";"3797.40000";"0"
"3830";"2003-11-18";"3693.08000";"3715.88000";"3644.96000";"3666.28000";"0"
"3830";"2003-11-19";"3659.97000";"3659.97000";"3594.61000";"3652.29000";"0"
"3830";"2003-11-20";"3663.63000";"3671.38000";"3576.52000";"3638.04000";"0"
"3830";"2003-11-21";"3637.62000";"3658.22000";"3619.92000";"3642.25000";"0"
